46|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7198|2019022502|23/02/2019|03:26|25/02/2019|09:06|PPA1|12|CD16|01|||||||||||||PPA1-12|722F-P-P1|25/02/2019|09:06|25/02/2019|16:56||6|86100-0K102-00|RECEIVER ASSY  RADIO & NAVIGATION|B035|SA.R -  14|4|4|1||F|23/02/2019|03:26|22/02/2019|18:04|22/02/2019|18:04||22/02/2019|07:30|2502||F1||
47|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7198|2019022502|23/02/2019|03:26|25/02/2019|09:06|PPA1|12|CD16|01|||||||||||||PPA1-12|722F-P-P1|25/02/2019|09:06|25/02/2019|16:56||7|86100-0K214-00|RECEIVER ASSY  RADIO & NAVIGATION|B037|SA.R -  14|4|4|1||F|23/02/2019|03:26|22/02/2019|18:04|22/02/2019|18:04||22/02/2019|07:30|2502||F1||
48|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B7840|2019022502|22/02/2019|15:08|22/02/2019|20:35|PSA|04|PD02|03|||||||||||||PSA-04|722B-S-S1|22/02/2019|20:35|25/02/2019|09:25||1|86120-0KA00-00|RECEIVER ASSY RADIO|A792|IP1  - A07|4|20|5||F|22/02/2019|15:08|22/02/2019|10:58|22/02/2019|10:58||22/02/2019|07:30|2502||||
49|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B7840|2019022502|22/02/2019|15:08|22/02/2019|20:35|PSA|04|PD02|03|||||||||||||PSA-04|722B-S-S1|22/02/2019|20:35|25/02/2019|09:25||2|86120-0KA20-00|RECEIVER ASSY RADIO|A794|IP1  - A07|4|4|1||F|22/02/2019|15:08|22/02/2019|10:58|22/02/2019|10:58||22/02/2019|07:30|2502||||
50|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B7840|2019022502|22/02/2019|15:08|22/02/2019|20:35|PSA|04|PD02|03|||||||||||||PSA-04|722B-S-S1|22/02/2019|20:35|25/02/2019|09:25||3|86140-0K200-00|RECEIVER ASSY RADIO & DISPLAY|A798|IP1  - A07|4|8|2||F|22/02/2019|15:08|22/02/2019|10:58|22/02/2019|10:58||22/02/2019|07:30|2502||||
51|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B7840|2019022502|22/02/2019|15:08|22/02/2019|20:35|PSA|04|PD02|03|||||||||||||PSA-04|722B-S-S1|22/02/2019|20:35|25/02/2019|09:25||4|86140-0K570-00|RECEIVER ASSY RADIO & DISPLAY|A799|IP1  - A07|4|8|2||F|22/02/2019|15:08|22/02/2019|10:58|22/02/2019|10:58||22/02/2019|07:30|2502||||
52|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B7840|2019022502|22/02/2019|15:08|22/02/2019|20:35|PSA|04|PD02|03|||||||||||||PSA-04|722B-S-S1|22/02/2019|20:35|25/02/2019|09:25||5|86100-0K144-00|RECEIVER ASSY RADIO & NAVIGATION|F154|IP1  - A08|4|8|2||F|22/02/2019|15:08|22/02/2019|10:58|22/02/2019|10:58||22/02/2019|07:30|2502||||
53|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B7841|2019022503|23/02/2019|03:21|25/02/2019|08:35|PSA|07|PD02|01|||||||||||||PSA-07|722B-S-S1|25/02/2019|08:35|25/02/2019|12:30||1|86120-0KA00-00|RECEIVER ASSY RADIO|A792|IP1  - A07|4|28|7||F|23/02/2019|03:21|22/02/2019|19:49|22/02/2019|19:49||22/02/2019|07:30|2502||||
54|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B7841|2019022503|23/02/2019|03:21|25/02/2019|08:35|PSA|07|PD02|01|||||||||||||PSA-07|722B-S-S1|25/02/2019|08:35|25/02/2019|12:30||2|86140-0K200-00|RECEIVER ASSY RADIO & DISPLAY|A798|IP1  - A07|4|8|2||F|23/02/2019|03:21|22/02/2019|19:49|22/02/2019|19:49||22/02/2019|07:30|2502||||
55|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B7841|2019022503|23/02/2019|03:21|25/02/2019|08:35|PSA|07|PD02|01|||||||||||||PSA-07|722B-S-S1|25/02/2019|08:35|25/02/2019|12:30||3|86140-0K570-00|RECEIVER ASSY RADIO & DISPLAY|A799|IP1  - A07|4|4|1||F|23/02/2019|03:21|22/02/2019|19:49|22/02/2019|19:49||22/02/2019|07:30|2502||||
56|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B7841|2019022503|23/02/2019|03:21|25/02/2019|08:35|PSA|07|PD02|01|||||||||||||PSA-07|722B-S-S1|25/02/2019|08:35|25/02/2019|12:30||4|86100-0K144-00|RECEIVER ASSY RADIO & NAVIGATION|F154|IP1  - A08|4|8|2||F|23/02/2019|03:21|22/02/2019|19:49|22/02/2019|19:49||22/02/2019|07:30|2502||||
57|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B7842|2019022504|23/02/2019|03:21|25/02/2019|08:35|PSA|10|PD02|01|||||||||||||PSA-10|722B-S-S1|25/02/2019|08:35|25/02/2019|14:25||1|86120-0KA00-00|RECEIVER ASSY RADIO|A792|IP1  - A07|4|16|4||F|23/02/2019|03:21|22/02/2019|19:49|22/02/2019|19:49||22/02/2019|07:30|2502||||
58|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B7842|2019022504|23/02/2019|03:21|25/02/2019|08:35|PSA|10|PD02|01|||||||||||||PSA-10|722B-S-S1|25/02/2019|08:35|25/02/2019|14:25||2|86140-0K200-00|RECEIVER ASSY RADIO & DISPLAY|A798|IP1  - A07|4|12|3||F|23/02/2019|03:21|22/02/2019|19:49|22/02/2019|19:49||22/02/2019|07:30|2502||||
59|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B7842|2019022504|23/02/2019|03:21|25/02/2019|08:35|PSA|10|PD02|01|||||||||||||PSA-10|722B-S-S1|25/02/2019|08:35|25/02/2019|14:25||3|86140-0K570-00|RECEIVER ASSY RADIO & DISPLAY|A799|IP1  - A07|4|8|2||F|23/02/2019|03:21|22/02/2019|19:49|22/02/2019|19:49||22/02/2019|07:30|2502||||
